               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  45,            0.034535,            0.024789,           0.0001326,              0.6422,             0.60157,             0.60907,             0.28834,            0.043015,             0.01907,          0.00013989,           0.0063432,           0.0063432,           0.0063432
                  46,            0.034553,            0.024077,          0.00013567,             0.64864,              0.6055,             0.61415,             0.28634,            0.043258,            0.019139,          0.00014615,            0.006204,            0.006204,            0.006204
                  47,            0.033637,            0.023429,           0.0001417,             0.68238,             0.57704,             0.59696,             0.27499,            0.043686,            0.019261,          0.00015345,            0.006064,            0.006064,            0.006064
                  48,            0.034367,            0.024658,          0.00012217,             0.69497,             0.57017,             0.61515,             0.28988,            0.043053,            0.018754,           0.0001444,           0.0059235,           0.0059235,           0.0059235
                  49,             0.03387,            0.025734,          0.00011274,             0.58323,             0.63984,             0.60757,             0.29356,            0.042977,            0.018883,          0.00015987,           0.0057826,           0.0057826,           0.0057826
                  50,            0.032922,            0.024552,          0.00011999,             0.68513,             0.61727,             0.63575,             0.30462,            0.042388,            0.019441,          0.00016686,           0.0056413,           0.0056413,           0.0056413
                  51,            0.032832,            0.023644,           0.0001128,             0.69923,             0.59372,              0.6403,             0.30377,            0.042936,            0.018709,          0.00015329,              0.0055,              0.0055,              0.0055
                  52,             0.03263,            0.022034,          0.00010613,             0.64529,             0.61629,             0.62565,             0.29304,            0.042637,            0.019154,          0.00012964,           0.0053587,           0.0053587,           0.0053587
                  53,            0.031412,            0.023085,          9.7984e-05,             0.64454,             0.59961,             0.59069,             0.28095,            0.043681,            0.019599,          0.00013641,           0.0052174,           0.0052174,           0.0052174
                  54,             0.03181,            0.024124,          9.8128e-05,             0.70056,             0.57115,             0.60399,              0.2881,            0.044818,            0.019614,          0.00013518,           0.0050765,           0.0050765,           0.0050765
                  55,            0.032356,            0.023576,           9.877e-05,             0.64527,             0.61335,             0.61029,             0.30324,            0.042505,            0.019316,          0.00012356,            0.004936,            0.004936,            0.004936
                  56,              0.0319,            0.023478,          9.5333e-05,             0.66642,              0.6104,             0.61576,             0.29221,            0.042981,            0.019494,          0.00013632,            0.004796,            0.004796,            0.004796
                  57,            0.031295,            0.022778,          0.00010198,             0.64542,             0.59764,             0.59736,             0.28964,             0.04315,            0.019952,           0.0001334,           0.0046568,           0.0046568,           0.0046568
                  58,            0.030768,            0.023018,          8.9746e-05,              0.6919,             0.61727,             0.61897,             0.29719,            0.043309,             0.01976,          0.00013792,           0.0045184,           0.0045184,           0.0045184
                  59,            0.030588,            0.022511,          8.3295e-05,             0.67751,             0.60844,             0.60962,              0.3008,            0.043215,            0.019492,          0.00012555,           0.0043809,           0.0043809,           0.0043809
                  60,            0.030316,            0.022457,          8.7187e-05,             0.66653,             0.60844,             0.60456,              0.2917,            0.043958,            0.020057,          0.00013699,           0.0042445,           0.0042445,           0.0042445
                  61,             0.03014,            0.022776,          8.1108e-05,             0.63419,             0.62316,             0.61116,             0.29172,            0.043204,            0.020352,          0.00012446,           0.0041094,           0.0041094,           0.0041094
                  62,            0.030086,            0.022035,          7.8236e-05,             0.64875,             0.61626,             0.60882,             0.30343,            0.042437,            0.019477,          0.00010093,           0.0039757,           0.0039757,           0.0039757
                  63,            0.029606,            0.021635,          8.1591e-05,             0.69314,             0.58096,             0.61009,             0.30719,            0.042881,            0.019993,          0.00011669,           0.0038434,           0.0038434,           0.0038434
                  64,            0.029254,            0.021766,          8.0153e-05,             0.69314,              0.6055,             0.60755,             0.30074,            0.044133,            0.020408,          0.00013686,           0.0037128,           0.0037128,           0.0037128
                  65,            0.029919,            0.024822,          7.7188e-05,             0.69804,             0.57017,             0.59935,              0.2974,              0.0445,            0.021041,          0.00014696,            0.003584,            0.003584,            0.003584
                  66,            0.029024,            0.021591,          7.0922e-05,              0.6566,             0.61922,             0.62257,             0.29777,            0.043465,            0.020645,          0.00013015,            0.003457,            0.003457,            0.003457
                  67,            0.028684,            0.021026,            7.02e-05,              0.6876,             0.58979,             0.60688,             0.29152,            0.043458,            0.020781,          0.00013396,           0.0033321,           0.0033321,           0.0033321
                  68,            0.028189,            0.021714,          6.7483e-05,             0.66959,             0.59274,             0.60774,             0.29467,            0.043765,            0.021348,          0.00014767,           0.0032093,           0.0032093,           0.0032093
                  69,            0.028177,            0.021208,          6.7915e-05,             0.67965,             0.61237,             0.61338,             0.29891,            0.043865,            0.020978,          0.00015534,           0.0030888,           0.0030888,           0.0030888
                  70,            0.028177,            0.021272,          6.4372e-05,             0.66753,             0.60095,             0.60841,             0.29864,            0.043878,            0.020786,          0.00014526,           0.0029706,           0.0029706,           0.0029706
                  71,            0.027506,            0.021485,          6.1496e-05,             0.67141,             0.59556,             0.60655,             0.29869,            0.044612,            0.021523,          0.00019142,            0.002855,            0.002855,            0.002855
                  72,            0.027695,            0.021209,          5.9731e-05,             0.66627,              0.5956,             0.59772,             0.28915,            0.043033,            0.020675,           0.0001218,           0.0027419,           0.0027419,           0.0027419
                  73,            0.027859,            0.021392,          5.7537e-05,             0.68619,             0.59666,             0.59709,             0.29518,            0.043392,            0.021452,          0.00014391,           0.0026316,           0.0026316,           0.0026316
                  74,            0.026832,            0.020851,          5.5996e-05,             0.67017,             0.60217,               0.604,             0.29808,            0.044065,            0.021694,          0.00015079,           0.0025241,           0.0025241,           0.0025241
                  75,            0.027261,            0.019876,          5.5394e-05,              0.6861,             0.59844,             0.61308,             0.29956,            0.043747,            0.021205,          0.00014593,           0.0024195,           0.0024195,           0.0024195
                  76,             0.02671,            0.021026,          4.9327e-05,              0.6788,              0.6035,             0.60367,              0.2942,            0.044142,             0.02177,          0.00014781,            0.002318,            0.002318,            0.002318
                  77,            0.026611,            0.019815,          5.3097e-05,             0.63221,             0.63788,             0.60594,             0.29872,            0.043582,            0.021323,          0.00015154,           0.0022196,           0.0022196,           0.0022196
                  78,            0.026595,            0.019518,          4.8607e-05,             0.67015,             0.60255,             0.60489,             0.29661,            0.043759,             0.02146,           0.0001586,           0.0021245,           0.0021245,           0.0021245
                  79,            0.026406,            0.019443,          4.7948e-05,             0.66233,             0.60648,             0.60065,             0.29331,             0.04378,            0.021901,          0.00015705,           0.0020327,           0.0020327,           0.0020327
                  80,            0.026272,            0.019819,          4.8426e-05,             0.65605,             0.61433,             0.60659,              0.3003,            0.043882,            0.021989,          0.00014994,           0.0019443,           0.0019443,           0.0019443
                  81,             0.02623,            0.021001,          4.9943e-05,             0.65308,             0.61888,               0.602,             0.30036,            0.044197,            0.021791,          0.00014438,           0.0018594,           0.0018594,           0.0018594
                  82,            0.025624,            0.020689,          4.5561e-05,             0.67154,             0.60648,             0.59469,             0.29288,            0.043905,            0.021869,          0.00014332,           0.0017781,           0.0017781,           0.0017781
                  83,            0.025667,            0.020816,          4.6137e-05,             0.67854,             0.61138,             0.59926,             0.29439,            0.044205,            0.021786,          0.00013406,           0.0017005,           0.0017005,           0.0017005
                  84,            0.025233,            0.020176,          4.3594e-05,             0.67916,             0.61629,             0.60947,             0.30519,            0.044312,            0.021528,          0.00013848,           0.0016267,           0.0016267,           0.0016267
                  85,            0.024936,            0.018421,          4.3303e-05,             0.71278,             0.60152,             0.60729,             0.30108,            0.043739,            0.021599,           0.0001207,           0.0015566,           0.0015566,           0.0015566
                  86,            0.025235,            0.020239,          4.1937e-05,             0.69937,             0.60059,             0.61068,             0.30098,            0.044007,              0.0217,          0.00011091,           0.0014905,           0.0014905,           0.0014905
                  87,            0.024661,            0.019813,          4.3695e-05,             0.68273,             0.61825,             0.60579,             0.30403,            0.044225,             0.02174,          0.00012396,           0.0014283,           0.0014283,           0.0014283
                  88,            0.024803,            0.018909,          4.1146e-05,             0.71935,             0.59176,             0.60306,             0.29991,            0.043957,            0.021908,          0.00013411,           0.0013701,           0.0013701,           0.0013701
                  89,            0.024344,            0.019077,          3.8022e-05,             0.70364,             0.59648,             0.60223,             0.30351,            0.044061,            0.022171,          0.00016748,            0.001316,            0.001316,            0.001316
                  90,            0.024346,            0.017957,          3.6787e-05,             0.69342,             0.62414,             0.61696,             0.30655,            0.043729,            0.022143,          0.00013516,            0.001266,            0.001266,            0.001266
                  91,            0.024692,             0.01828,          4.0448e-05,               0.681,              0.6201,             0.61017,             0.30661,            0.043924,            0.022162,           0.0001591,           0.0012202,           0.0012202,           0.0012202
                  92,             0.02459,            0.020027,          4.1451e-05,             0.66907,             0.62299,             0.60376,              0.3044,            0.043538,            0.021919,          0.00015801,           0.0011787,           0.0011787,           0.0011787
                  93,            0.023655,            0.020865,          3.7243e-05,             0.66561,             0.62509,             0.59259,             0.29403,            0.044033,            0.022306,          0.00015478,           0.0011414,           0.0011414,           0.0011414
                  94,            0.024169,            0.018103,          3.5877e-05,             0.71297,             0.59078,             0.59571,             0.29889,            0.044198,            0.022511,          0.00016316,           0.0011084,           0.0011084,           0.0011084
                  95,            0.024021,             0.01901,          3.5075e-05,             0.66663,               0.626,             0.59091,              0.2911,            0.043905,            0.022237,          0.00014367,           0.0010797,           0.0010797,           0.0010797
                  96,            0.023931,             0.01863,          4.6443e-05,              0.6846,             0.60942,             0.59839,             0.30278,            0.044189,             0.02276,          0.00014079,           0.0010554,           0.0010554,           0.0010554
                  97,            0.023801,            0.018688,           3.355e-05,             0.70201,             0.59961,             0.59819,             0.29826,            0.044196,            0.022427,          0.00013909,           0.0010355,           0.0010355,           0.0010355
                  98,            0.022975,            0.018355,          3.4148e-05,             0.66255,             0.61727,             0.59459,             0.30338,            0.044649,            0.022787,          0.00014698,             0.00102,             0.00102,             0.00102
                  99,            0.023351,            0.017948,          3.2825e-05,             0.71591,             0.58881,              0.6055,             0.29879,            0.044553,            0.022653,           0.0001513,           0.0010089,           0.0010089,           0.0010089
